Nom et prénom,IT_nom et prénom,Name Vorname,Nombre de voix obtenues,Anzahl erhalten Stimmen,IT_voix_total,Bulletins délivrés,Ausgeteilte Wahlzettel,IT_Bulletins_délivrés,Bulletins rentrés,Eingegangene Wahlzettel,IT_Bulletins rentrés,Bulletins blancs,Leer,IT_Bulletins blancs,Bulletins nuls,Ungültig,IT_Bulletins nuls,Majorité absolue,Absolutes Mehr,IT_Majorité absolue,Pourcentage des voix,Stimmenanteil,ITPourcentage des voix,Tour,Wahlgang,IT_Tour,Date,Datum,IT_Date,Partei,Parti
"Graber, Pierre","Graber, Pierre","Graber, Pierre",188,188,188,243,243,243,243,243,243,22,22,22,0,0,22,111,111,111,77.37,77.37,77.37,1,1,1,1969-12-10,1969-12-10,1969-12-10,SP,PS
"Felber, René","Felber, René","Felber, René",152,152,152,242,242,242,242,242,242,11,11,11,3,3,11,115,115,115,62.81,62.81,62.81,1,1,1,1987-12-09,1987-12-09,1987-12-09,SP,PS
"Spühler, Willy","Spühler, Willy","Spühler, Willy",149,149,149,238,238,238,238,238,238,12,12,12,0,0,12,114,114,114,62.61,62.61,62.61,1,1,1,1959-12-17,1959-12-17,1959-12-17,SP,PS
"Aubert, Pierre","Aubert, Pierre","Aubert, Pierre",139,139,139,239,239,239,239,239,239,7,7,7,0,0,7,117,117,117,58.16,58.16,58.16,1,1,1,1977-12-07,1977-12-07,1977-12-07,SP,PS
"Weber, Mas","Weber, Mas","Weber, Mas",133,133,133,234,234,234,233,233,233,22,22,22,1,1,22,106,106,106,57.08,57.08,57.08,1,1,1,1951-12-13,1951-12-13,1951-12-13,SP,PS
"Nobs, Ernst","Nobs, Ernst","Nobs, Ernst",122,122,122,233,233,233,233,233,233,0,0,0,52,52,0,91,91,91,52.36,52.36,52.36,1,1,1,1943-12-13,1943-12-13,1943-12-13,SP,PS
"Ritschard, Willi","Ritschard, Willi","Ritschard, Willi",123,123,123,242,242,242,242,242,242,1,1,1,0,0,1,121,121,121,50.83,50.83,50.83,1,1,1,1973-12-05,1973-12-05,1973-12-05,SP,PS
"Stich, Otto","Stich, Otto","Stich, Otto",124,124,124,246,246,246,246,246,246,2,2,2,0,0,2,123,123,123,50.41,50.41,50.41,1,1,1,1983-12-07,1983-12-07,1983-12-07,SP,PS
"Berset, Alain","Berset, Alain","Berset, Alain",126,126,126,245,245,245,245,245,245,0,0,0,0,0,0,123,123,123,51.43,51.43,51.43,2,2,2,2011-12-14,2011-12-14,2011-12-14,SP,PS
"Dreifuss, Ruth","Dreifuss, Ruth","Dreifuss, Ruth",144,144,144,229,229,229,228,228,228,38,38,38,0,0,38,96,96,96,63.16,63.16,63.16,3,3,3,1993-03-10,1993-03-10,1993-03-10,SP,PS
"Tschudi, Hans-Peter","Tschudi, Hans-Peter","Tschudi, Hans-Peter",129,129,129,235,235,235,235,235,235,5,5,5,0,0,5,116,116,116,54.89,54.89,54.89,3,3,3,1959-12-17,1959-12-17,1959-12-17,SP,PS
"Sommaruga, Simonetta","Sommaruga, Simonetta","Sommaruga, Simonetta",159,159,159,245,245,245,245,245,245,3,3,3,2,2,3,121,121,121,64.9,64.9,64.9,4,4,4,2010-09-22,2010-09-22,2010-09-22,SP,PS
"Calmy-Rey, Micheline","Calmy-Rey, Micheline","Calmy-Rey, Micheline",131,131,131,245,245,245,244,244,244,44,44,44,1,1,44,100,100,100,53.69,53.69,53.69,5,5,5,2002-12-04,2002-12-04,2002-12-04,SP,PS
"Leuenberger, Moritz","Leuenberger, Moritz","Leuenberger, Moritz",124,124,124,244,244,244,244,244,244,33,33,33,1,1,33,106,106,106,50.82,50.82,50.82,5,5,5,1995-09-27,1995-09-27,1995-09-27,SP,PS
