Cognome e nome,Numero di voti ottenuti,Schede distribuite,Schede consegnate,Schede in bianco,Maggioranza assoluta,Percentuale di voti,Turno,Data d'elezione,Partito
"Graber, Pierre , 1969",188,243,243,22,111,77.37,1,1969-12-10T00:00:00Z,PS
"Felber, René , 1987",152,242,242,11,115,62.81,1,1987-12-09T00:00:00Z,PS
"Spühler, Willy , 1959",149,238,238,12,114,62.61,1,1959-12-17T00:00:00Z,PS
"Aubert, Pierre , 1977",139,239,239,7,117,58.16,1,1977-12-07T00:00:00Z,PS
"Weber, Mas , 1951",133,234,233,22,106,57.08,1,1951-12-13T00:00:00Z,PS
"Nobs, Ernst , 1943",122,233,233,0,91,52.36,1,1943-12-13T00:00:00Z,PS
"Ritschard, Willi , 1973",123,242,242,1,121,50.83,1,1973-12-05T00:00:00Z,PS
"Stich, Otto , 1983",124,246,246,2,123,50.41,1,1983-12-07T00:00:00Z,PS
"Berset, Alain , 2011",126,245,245,0,123,51.43,2,2011-12-14T00:00:00Z,PS
"Dreifuss, Ruth , 1993",144,229,228,38,96,63.16,3,1993-03-10T00:00:00Z,PS
"Tschudi, Hans-Peter , 1959",129,235,235,5,116,54.89,3,1959-12-17T00:00:00Z,PS
"Baume-Schneider, Elisabeth , 2022",123,245,245,0,123,50.2,3,2022-12-07T00:00:00Z,PS
"Sommaruga, Simonetta , 2010",159,245,245,3,121,64.9,4,2010-09-22T00:00:00Z,PS
"Calmy-Rey, Micheline , 2002",131,245,244,44,100,53.69,5,2002-12-04T00:00:00Z,PS
"Leuenberger, Moritz , 1995",124,244,244,33,106,50.82,5,1995-09-27T00:00:00Z,PS
